id,photo,location_latitude,location_longitude,location_altitude,location_accuracy,arm_length_cm,focal_length,phone_model,sensor_width_mm,field_measured_dbh_cm,dbh_width_pixels,trunk_angle_deg,image_width_pixels,image_height_pixels,estimated_dbh_cm
uuid:73a2683c-1e84-410e-a351-92f1aee2b9b6,1717159209516.jpg,17.4341034,78.3421581,546.1000366,4.18,43,5.59,OnePlus Nord CE3 5G,8.192,18.4619889928348,960,83.2,3072,4096,19.6923
uuid:b5d310fe-e2cf-4f37-9bef-0094a26d7597,1717159165401.jpg,17.4340999,78.3421621,543.6000366,4.85,43,5.59,OnePlus Nord CE3 5G,8.192,34.3774967452787,1669,84.55,3072,4096,34.2359
uuid:6e7020a3-85ab-4b45-965e-41c6fed0aee1,1717158252138.jpg,17.4350846,78.342825,555.1000366,2.86,43,5.49,realme 6,7.424,19.7352296130303,1289,89.15,3456,4608,21.6877
uuid:16dd5155-d7f4-488d-8c91-1c02891798c4,1717158230724.jpg,17.4350083,78.342795,555.1000366,2.8,43,5.49,realme 6,7.424,26.1014327140079,2818,62.46,3456,4608,47.4134
uuid:3f3c2199-df19-4d15-ac35-92ee4b27dd99,1717074881502.jpg,17.438165,78.3372,553.7000122,3.9,43,5.58,realme 7,7.398,15.9155077524438,1084,51.6,3456,4608,17.8815
uuid:6f96fcf5-8f31-4a2f-9780-aa2d7a31f328,1717074838264.jpg,17.4381655,78.3371995,553.1000366,3.618,43,5.58,realme 7,7.398,15.4380425198705,1087,85.43,3456,4608,17.931
uuid:400ac40a-d5ff-4e79-a950-34026b63fca8,1717074838017.jpg,17.4347492,78.3377492,546.0,4.942,40,5.59,OnePlus Nord 2T 5G,8.192,13.5281815895773,943,70.74,3072,4096,17.994
uuid:5c8ab47e-5f3d-4b70-960b-b21c65cd1eda,1717074792244.jpg,17.4347344,78.3377195,545.9000244,4.0,40,5.59,OnePlus Nord 2T 5G,8.192,20.0535397680792,1309,64.58,3072,4096,24.9779
uuid:968cae12-6dfc-4999-8152-ddf7bfe2ada0,1717064241357.jpg,23.0648218,87.0877854,53.07952881,4.99,43,4.71,realme 9 5G SE,6.4,20.8174841401965,1323,79.82,3000,4000,25.7671
uuid:2e67bd85-6e7e-40fa-9350-ce82f939969b,1717064216831.jpg,23.0648295,87.0877908,47.62200928,4.987,43,4.71,realme 9 5G SE,6.4,16.6476211090562,923,88.12,3000,4000,17.9766
